Number of samples:   11392
Sample interval:     0.01 seconds
Total sampling time: 113.92 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "repl-thread" RUNNING {1008AD1BC3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 174     12   0.1     12   0.1   8447  74.1        -  SB-C::NCONC-NEW
 175     12   0.1     12   0.1   8459  74.3        -  COPY-STRUCTURE
 176     11   0.1   1595  14.0   8470  74.4        -  SB-C::IR1-CONVERT-PROGN-BODY
 177     11   0.1    806   7.1   8481  74.4        -  SB-C::LOCALL-ANALYZE-COMPONENT
 178     11   0.1    446   3.9   8492  74.5        -  SB-C::CONVERT-CALL-IF-POSSIBLE
 179     11   0.1    377   3.3   8503  74.6        -  SB-C::VALIDATE-CALL-TYPE
 180     11   0.1    190   1.7   8514  74.7        -  SB-KERNEL::SIMPLIFY-INTERSECTIONS
 181     11   0.1     91   0.8   8525  74.8        -  SB-KERNEL::SPECIFIER-TYPE-R
 182     11   0.1     23   0.2   8536  74.9        -  (FLET SB-C::ENQUEUE :IN SB-C::FIND-AND-PROPAGATE-CONSTRAINTS)
 183     11   0.1     16   0.1   8547  75.0        -  SB-IMPL::NLIST-SUBSTITUTE*
 184     11   0.1     12   0.1   8558  75.1        -  SB-C::NOTE-LOSSAGE
 185     11   0.1     11   0.1   8569  75.2        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (COMPLEX DOUBLE-FLOAT))
 186     11   0.1     11   0.1   8580  75.3        -  SB-C::MAKE-CONSET
 187     11   0.1     11   0.1   8591  75.4        -  SB-C::MAYBE-TERMINATE-BLOCK
 188     11   0.1     11   0.1   8602  75.5        -  SB-KERNEL:%MEMBER
 189     11   0.1     11   0.1   8613  75.6        -  SB-C::PONDER-FULL-CALL
 190     11   0.1     11   0.1   8624  75.7        -  SB-C::LINK-NODE-TO-PREVIOUS-CTRAN
 191     10   0.1    214   1.9   8634  75.8        -  SB-KERNEL::ARGS-TYPE-OP
 192     10   0.1    116   1.0   8644  75.9        -  SB-C::TYPE-ASSERTED-P
 193     10   0.1     94   0.8   8654  76.0        -  SB-C::SUBSTITUTE-SINGLE-USE-LVAR
 194     10   0.1     84   0.7   8664  76.1        -  SB-REGALLOC::INSERT-BLOCK-LOCAL-CONFLICTS-FOR
 195     10   0.1     53   0.5   8674  76.1        -  SB-C::STRIP-LAMBDA-LIST
 196     10   0.1     46   0.4   8684  76.2        -  SB-KERNEL::NUMBER-SIMPLE-INTERSECTION2-TYPE-METHOD
 197     10   0.1     46   0.4   8694  76.3        -  SB-KERNEL::%COERCE-TO-VALUES
 198     10   0.1     29   0.3   8704  76.4        -  SB-C::ADD-GLOBAL-CONFLICT
 199     10   0.1     25   0.2   8714  76.5        -  CL-QUIL.CLIFFORD::ROW-PRODUCT
 200     10   0.1     24   0.2   8724  76.6        -  SB-C::IR1-MERGE-CASTS
 201     10   0.1     20   0.2   8734  76.7        -  SB-C::EMIT-VOP
 202     10   0.1     17   0.1   8744  76.8        -  SB-C::MAYBE-WEAKEN-CHECK
 203     10   0.1     13   0.1   8754  76.8        -  SB-C::FLUSH-DEST
 204     10   0.1     12   0.1   8764  76.9        -  (LAMBDA (SB-C::CONSTRAINT) :IN SB-C::CONSTRAIN-REF-TYPE)
 205     10   0.1     12   0.1   8774  77.0        -  SB-C::JOIN-COMPONENTS
 206     10   0.1     10   0.1   8784  77.1        -  SB-PCL::FIND-SLOT-CELL
 207     10   0.1     10   0.1   8794  77.2        -  SB-C::MAKE-GLOBAL-CONFLICTS
 208     10   0.1     10   0.1   8804  77.3        -  SB-KERNEL:TYPE-UNION
 209     10   0.1     10   0.1   8814  77.4        -  SB-C::COMPUTE-INITIAL-CONFLICTS
 210     10   0.1     10   0.1   8824  77.5        -  SB-C::USE-LVAR
 211     10   0.1     10   0.1   8834  77.5        -  SB-IMPL::ALLOC-HASH-CACHE-LINE/5
 212     10   0.1     10   0.1   8844  77.6        -  SB-KERNEL:%MEMBER-EQ
 213      9   0.1    926   8.1   8853  77.7        -  (FLET SB-REGALLOC::COLOR-VERTICES :IN SB-REGALLOC::COLOR-INTERFERENCE-GRAPH)
 214      9   0.1    155   1.4   8862  77.8        -  SB-C::RECOGNIZE-KNOWN-CALL
 215      9   0.1    136   1.2   8871  77.9        -  SB-C::MAYBE-DELETE-CAST
 216      9   0.1    135   1.2   8880  77.9        -  SB-KERNEL::FIXED-VALUES-OP
 217      9   0.1     63   0.6   8889  78.0        -  SB-C::LIFETIME-FLOW-ANALYSIS
 218      9   0.1     55   0.5   8898  78.1        -  (FLET SB-IMPL::F :IN SB-IMPL::VECTOR-MAP-INTO/SIMPLE-ARRAY-COMPLEX-DOUBLE-FLOAT)
 219      9   0.1     14   0.1   8907  78.2        -  SB-ASSEM:EMIT-BYTE
 220      9   0.1     14   0.1   8916  78.3        -  SB-C::FIND-CONSTANT
 221      9   0.1     13   0.1   8925  78.3        -  SB-C::FIND-LOCAL-REFERENCES
 222      9   0.1     13   0.1   8934  78.4        -  MAKE-HASH-TABLE
 223      9   0.1     13   0.1   8943  78.5        -  SB-ASSEM::%INST
 224      9   0.1     10   0.1   8952  78.6        -  ASH
 225      9   0.1     10   0.1   8961  78.7        -  SB-KERNEL:TWO-ARG-+
 226      9   0.1      9   0.1   8970  78.7        -  "foreign function getrusage"
 227      9   0.1      9   0.1   8979  78.8        -  SB-C::UNCONVERT-TAIL-CALLS
 228      9   0.1      9   0.1   8988  78.9        -  (LAMBDA (SB-PCL::.PV. SB-PCL::.NEXT-METHOD-CALL. SB-KERNEL:INSTANCE) :IN SB-PCL::MAKE-STD-READER-METHOD-FUNCTION)
 229      9   0.1      9   0.1   8997  79.0        -  SB-KERNEL:CLASSOID-TYPEP
 230      9   0.1      9   0.1   9006  79.1        -  SB-INT:PROPER-LIST-OF-LENGTH-P
 231      9   0.1      9   0.1   9015  79.1        -  SB-C::INSTRUMENT-COVERAGE
 232      9   0.1      9   0.1   9024  79.2        -  SB-KERNEL::INTEGER-/-INTEGER
 233      9   0.1      9   0.1   9033  79.3        -  (FLET SB-IMPL::POP-RABBIT :IN SB-INT:PROPER-LIST-P)
 234      9   0.1      9   0.1   9042  79.4        -  (FLET SB-C::CLEAR-REOPTIMIZE-ARGS :IN SB-C::IR1-OPTIMIZE-COMBINATION)
 235      8   0.1    986   8.7   9050  79.4        -  SB-C::IR1-CONVERT-COMBINATION-CHECKING-TYPE
 236      8   0.1    433   3.8   9058  79.5        -  SB-C::PROPAGATE-LET-ARGS
 237      8   0.1    370   3.2   9066  79.6        -  SB-C::THE-IN-POLICY
 238      8   0.1    338   3.0   9074  79.7        -  SB-C::MAP-COMBINATION-ARG-VAR
