Number of samples:   11203
Sample interval:     0.01 seconds
Total sampling time: 112.03 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "repl-thread" RUNNING {1008AD1BC3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 196     10   0.1     13   0.1   8512  76.0        -  SB-C::LVAR-FUN-NAME
 197     10   0.1     12   0.1   8522  76.1        -  IMAGPART
 198     10   0.1     12   0.1   8532  76.2        -  SB-C::FLUSH-FULL-CALL-TAIL-TRANSFERS
 199     10   0.1     12   0.1   8542  76.2        -  SB-C::FIND-SAETP
 200     10   0.1     10   0.1   8552  76.3        -  SB-C::FUN-TYPE-ARG-LIMITS
 201     10   0.1     10   0.1   8562  76.4        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (COMPLEX DOUBLE-FLOAT))
 202     10   0.1     10   0.1   8572  76.5        -  REMOVE
 203     10   0.1     10   0.1   8582  76.6        -  SB-REGALLOC::PARTITION-AND-ORDER-VERTICES
 204     10   0.1     10   0.1   8592  76.7        -  (FLET SB-IMPL::POP-RABBIT :IN SB-INT:PROPER-LIST-P)
 205     10   0.1     10   0.1   8602  76.8        -  SB-C::INSERT-BLOCK-GLOBAL-CONFLICT
 206      9   0.1   1591  14.2   8611  76.9        -  SB-KERNEL:%MAP
 207      9   0.1    633   5.7   8620  76.9        -  SB-C::IR1-CONVERT-COMBINATION
 208      9   0.1    363   3.2   8629  77.0        -  SB-C::MAYBE-LET-CONVERT
 209      9   0.1     66   0.6   8638  77.1        -  SB-C::COMPUTE-BLOCK-IN
 210      9   0.1     58   0.5   8647  77.2        -  SB-ASSEM::%ASSEMBLE-SECTIONS
 211      9   0.1     30   0.3   8656  77.3        -  SB-C::CONSTANT-FOLD-CALL-P
 212      9   0.1     28   0.2   8665  77.3        -  SB-C::CHECK-VARIABLE-NAME-FOR-BINDING
 213      9   0.1     18   0.2   8674  77.4        -  SB-C::IR1-OPTIMIZE-FUNCTIONAL-ARGUMENTS
 214      9   0.1     12   0.1   8683  77.5        -  SB-KERNEL:TWO-ARG-+
 215      9   0.1     12   0.1   8692  77.6        -  SB-ASSEM:EMIT-BYTE
 216      9   0.1     10   0.1   8701  77.7        -  SB-ASSEM:EMIT
 217      9   0.1     10   0.1   8710  77.7        -  SB-KERNEL::TYPE-UNION2
 218      9   0.1      9   0.1   8719  77.8        -  (LAMBDA (SB-PCL::.ARG0. SB-INT:&MORE SB-PCL::.MORE-CONTEXT. SB-PCL::.MORE-COUNT.) :IN "SYS:SRC;PCL;DLISP3.LISP")
 219      9   0.1      9   0.1   8728  77.9        -  (LAMBDA (SB-PCL::.ARG0.) :IN "SYS:SRC;PCL;BRAID.LISP")
 220      9   0.1      9   0.1   8737  78.0        -  SB-REGALLOC::ADD-LOCATION-CONFLICTS
 221      9   0.1      9   0.1   8746  78.1        -  SB-C::MAKE-BIND
 222      9   0.1      9   0.1   8755  78.1        -  SB-C::NODE-COMPONENT
 223      9   0.1      9   0.1   8764  78.2        -  SB-C::PREPARE-ARG-FOR-DERIVE-TYPE
 224      9   0.1      9   0.1   8773  78.3        -  SB-REGALLOC::GROW-SC
 225      8   0.1   1632  14.6   8781  78.4        -  SB-C::IR1-CONVERT-PROGN-BODY
 226      8   0.1   1497  13.4   8789  78.5        -  SB-C::IR1-CONVERT-INLINE-LAMBDA
 227      8   0.1    365   3.3   8797  78.5        -  SB-C::VALIDATE-CALL-TYPE
 228      8   0.1    298   2.7   8805  78.6        -  (FLET SB-C::PROCESS-INFO :IN SB-C::IR1-OPTIMIZE-COMBINATION)
 229      8   0.1    156   1.4   8813  78.7        -  SB-C::RECOGNIZE-KNOWN-CALL
 230      8   0.1    116   1.0   8821  78.7        -  SB-C::PROPAGATE-TO-REFS
 231      8   0.1    101   0.9   8829  78.8        -  SB-KERNEL:SPECIFIER-TYPE
 232      8   0.1     63   0.6   8837  78.9        -  SB-C::LIFETIME-FLOW-ANALYSIS
 233      8   0.1     45   0.4   8845  79.0        -  SB-C::TEMPLATE-ARGS-OK
 234      8   0.1     45   0.4   8853  79.0        -  SB-C::FIND-DFO-AUX
 235      8   0.1     45   0.4   8861  79.1        -  SB-INT:CHECK-LAMBDA-LIST-NAMES
 236      8   0.1     27   0.2   8869  79.2        -  SB-C::INSERT-LET-BODY
